,Medium,Language,Subject,Unit,Non_word,Picture set,Picture orientation,Meaning
965,Sp,H,0,Sn,B,1,R,2
966,Sp,H,0,Sn,B,1,R,3
967,Sp,H,0,Sn,B,1,R,4
968,Sp,H,0,Sn,B,1,R,5
969,Sp,H,0,Sn,B,1,R,6
970,Sp,H,0,Sn,B,1,R,7
971,Sp,H,0,Sn,B,1,R,8
972,Sp,H,0,Sn,B,2,L,1
973,Sp,H,0,Sn,B,2,L,2
974,Sp,H,0,Sn,B,2,L,3
975,Sp,H,0,Sn,B,2,L,4
976,Sp,H,0,Sn,B,2,L,5
977,Sp,H,0,Sn,B,2,L,6
978,Sp,H,0,Sn,B,2,L,7
979,Sp,H,0,Sn,B,2,L,8
980,Sp,H,0,Sn,B,2,R,10
981,Sp,H,0,Sn,B,2,R,11
982,Sp,H,0,Sn,B,2,R,12
983,Sp,H,0,Sn,B,2,R,9
984,Sp,H,0,Sn,T,1,L,10
985,Sp,H,0,Sn,T,1,L,11
986,Sp,H,0,Sn,T,1,L,12
987,Sp,H,0,Sn,T,1,L,9
988,Sp,H,0,Sn,T,1,R,1
989,Sp,H,0,Sn,T,1,R,2
990,Sp,H,0,Sn,T,1,R,3
991,Sp,H,0,Sn,T,1,R,4
992,Sp,H,0,Sn,T,1,R,5
993,Sp,H,0,Sn,T,1,R,6
994,Sp,H,0,Sn,T,1,R,7
995,Sp,H,0,Sn,T,1,R,8
996,Sp,H,0,Sn,T,2,L,1
997,Sp,H,0,Sn,T,2,L,2
998,Sp,H,0,Sn,T,2,L,3
999,Sp,H,0,Sn,T,2,L,4
1000,Sp,H,0,Sn,T,2,L,5
1001,Sp,H,0,Sn,T,2,L,6
1002,Sp,H,0,Sn,T,2,L,7
1003,Sp,H,0,Sn,T,2,L,8
1004,Sp,H,0,Sn,T,2,R,10
1005,Sp,H,0,Sn,T,2,R,11
1006,Sp,H,0,Sn,T,2,R,12
1007,Sp,H,0,Sn,T,2,R,9
1008,Sp,H,10,Ml,B,1,L,1
1009,Sp,H,10,Ml,B,1,L,10
1010,Sp,H,10,Ml,B,1,L,11
1011,Sp,H,10,Ml,B,1,L,12
1012,Sp,H,10,Ml,B,1,L,2
1013,Sp,H,10,Ml,B,1,L,3
1014,Sp,H,10,Ml,B,1,L,4
1015,Sp,H,10,Ml,B,1,L,5
1016,Sp,H,10,Ml,B,1,L,6
1017,Sp,H,10,Ml,B,1,L,7
1018,Sp,H,10,Ml,B,1,L,8
1019,Sp,H,10,Ml,B,1,L,9
1020,Sp,H,10,Ml,B,2,R,1
1021,Sp,H,10,Ml,B,2,R,10
1022,Sp,H,10,Ml,B,2,R,11
1023,Sp,H,10,Ml,B,2,R,12
1024,Sp,H,10,Ml,B,2,R,2
1025,Sp,H,10,Ml,B,2,R,3
1026,Sp,H,10,Ml,B,2,R,4
1027,Sp,H,10,Ml,B,2,R,5
1028,Sp,H,10,Ml,B,2,R,6
1029,Sp,H,10,Ml,B,2,R,7
1030,Sp,H,10,Ml,B,2,R,8
1031,Sp,H,10,Ml,B,2,R,9
1032,Sp,H,10,Ml,T,1,L,1
1033,Sp,H,10,Ml,T,1,L,10
1034,Sp,H,10,Ml,T,1,L,11
1035,Sp,H,10,Ml,T,1,L,12
1036,Sp,H,10,Ml,T,1,L,2
1037,Sp,H,10,Ml,T,1,L,3
1038,Sp,H,10,Ml,T,1,L,4
1039,Sp,H,10,Ml,T,1,L,5
1040,Sp,H,10,Ml,T,1,L,6
1041,Sp,H,10,Ml,T,1,L,7
1042,Sp,H,10,Ml,T,1,L,8
1043,Sp,H,10,Ml,T,1,L,9
1044,Sp,H,10,Ml,T,2,R,1
1045,Sp,H,10,Ml,T,2,R,10
1046,Sp,H,10,Ml,T,2,R,11
1047,Sp,H,10,Ml,T,2,R,12
1048,Sp,H,10,Ml,T,2,R,2
1049,Sp,H,10,Ml,T,2,R,3
1050,Sp,H,10,Ml,T,2,R,4
1051,Sp,H,10,Ml,T,2,R,5
1052,Sp,H,10,Ml,T,2,R,6
1053,Sp,H,10,Ml,T,2,R,7
1054,Sp,H,10,Ml,T,2,R,8
1055,Sp,H,10,Ml,T,2,R,9
1056,Sp,H,10,Sn,B,1,L,10
1057,Sp,H,10,Sn,B,1,L,11
1058,Sp,H,10,Sn,B,1,L,12
1059,Sp,H,10,Sn,B,1,L,9
1060,Sp,H,10,Sn,B,1,R,1
1061,Sp,H,10,Sn,B,1,R,2
1062,Sp,H,10,Sn,B,1,R,3
1063,Sp,H,10,Sn,B,1,R,4
1064,Sp,H,10,Sn,B,1,R,5
1065,Sp,H,10,Sn,B,1,R,6
1066,Sp,H,10,Sn,B,1,R,7
1067,Sp,H,10,Sn,B,1,R,8
1068,Sp,H,10,Sn,B,2,L,1
1069,Sp,H,10,Sn,B,2,L,2
1070,Sp,H,10,Sn,B,2,L,3
1071,Sp,H,10,Sn,B,2,L,4
1072,Sp,H,10,Sn,B,2,L,5
1073,Sp,H,10,Sn,B,2,L,6
1074,Sp,H,10,Sn,B,2,L,7
1075,Sp,H,10,Sn,B,2,L,8
1076,Sp,H,10,Sn,B,2,R,10
1077,Sp,H,10,Sn,B,2,R,11
1078,Sp,H,10,Sn,B,2,R,12
1079,Sp,H,10,Sn,B,2,R,9
1080,Sp,H,10,Sn,T,1,L,10
1081,Sp,H,10,Sn,T,1,L,11
1082,Sp,H,10,Sn,T,1,L,12
1083,Sp,H,10,Sn,T,1,L,9
1084,Sp,H,10,Sn,T,1,R,1
1085,Sp,H,10,Sn,T,1,R,2
1086,Sp,H,10,Sn,T,1,R,3
1087,Sp,H,10,Sn,T,1,R,4
1088,Sp,H,10,Sn,T,1,R,5
1089,Sp,H,10,Sn,T,1,R,6
1090,Sp,H,10,Sn,T,1,R,7
1091,Sp,H,10,Sn,T,1,R,8
1092,Sp,H,10,Sn,T,2,L,1
1093,Sp,H,10,Sn,T,2,L,2
1094,Sp,H,10,Sn,T,2,L,3
1095,Sp,H,10,Sn,T,2,L,4
1096,Sp,H,10,Sn,T,2,L,5
1097,Sp,H,10,Sn,T,2,L,6
1098,Sp,H,10,Sn,T,2,L,7
1099,Sp,H,10,Sn,T,2,L,8
1100,Sp,H,10,Sn,T,2,R,10
1101,Sp,H,10,Sn,T,2,R,11
1102,Sp,H,10,Sn,T,2,R,12
1103,Sp,H,10,Sn,T,2,R,9
1104,Sp,H,1,Ml,B,1,L,1
1105,Sp,H,1,Ml,B,1,L,2
1106,Sp,H,1,Ml,B,1,L,3
1107,Sp,H,1,Ml,B,1,L,4
1108,Sp,H,1,Ml,B,1,R,10
1109,Sp,H,1,Ml,B,1,R,11
1110,Sp,H,1,Ml,B,1,R,12
1111,Sp,H,1,Ml,B,1,R,5
1112,Sp,H,1,Ml,B,1,R,6
1113,Sp,H,1,Ml,B,1,R,7
1114,Sp,H,1,Ml,B,1,R,8
1115,Sp,H,1,Ml,B,1,R,9
1116,Sp,H,1,Ml,B,2,L,10
1117,Sp,H,1,Ml,B,2,L,11
1118,Sp,H,1,Ml,B,2,L,12
1119,Sp,H,1,Ml,B,2,L,5
1120,Sp,H,1,Ml,B,2,L,6
1121,Sp,H,1,Ml,B,2,L,7
1122,Sp,H,1,Ml,B,2,L,8
1123,Sp,H,1,Ml,B,2,L,9
1124,Sp,H,1,Ml,B,2,R,1
1125,Sp,H,1,Ml,B,2,R,2
1126,Sp,H,1,Ml,B,2,R,3
1127,Sp,H,1,Ml,B,2,R,4
1128,Sp,H,1,Ml,T,1,L,1
1129,Sp,H,1,Ml,T,1,L,2
1130,Sp,H,1,Ml,T,1,L,3
1131,Sp,H,1,Ml,T,1,L,4
1132,Sp,H,1,Ml,T,1,R,10
1133,Sp,H,1,Ml,T,1,R,11
1134,Sp,H,1,Ml,T,1,R,12
1135,Sp,H,1,Ml,T,1,R,5
1136,Sp,H,1,Ml,T,1,R,6
1137,Sp,H,1,Ml,T,1,R,7
1138,Sp,H,1,Ml,T,1,R,8
1139,Sp,H,1,Ml,T,1,R,9
1140,Sp,H,1,Ml,T,2,L,10
1141,Sp,H,1,Ml,T,2,L,11
1142,Sp,H,1,Ml,T,2,L,12
1143,Sp,H,1,Ml,T,2,L,5
1144,Sp,H,1,Ml,T,2,L,6
1145,Sp,H,1,Ml,T,2,L,7
1146,Sp,H,1,Ml,T,2,L,8
1147,Sp,H,1,Ml,T,2,L,9
1148,Sp,H,1,Ml,T,2,R,1
1149,Sp,H,1,Ml,T,2,R,2
1150,Sp,H,1,Ml,T,2,R,3
1151,Sp,H,1,Ml,T,2,R,4
1152,Sp,H,1,Sn,B,1,L,10
1153,Sp,H,1,Sn,B,1,L,11
1154,Sp,H,1,Sn,B,1,L,12
1155,Sp,H,1,Sn,B,1,L,5
1156,Sp,H,1,Sn,B,1,L,6
1157,Sp,H,1,Sn,B,1,L,7
1158,Sp,H,1,Sn,B,1,L,8
1159,Sp,H,1,Sn,B,1,L,9
1160,Sp,H,1,Sn,B,1,R,1
1161,Sp,H,1,Sn,B,1,R,2
1162,Sp,H,1,Sn,B,1,R,3
1163,Sp,H,1,Sn,B,1,R,4
1164,Sp,H,1,Sn,B,2,L,1
1165,Sp,H,1,Sn,B,2,L,2
1166,Sp,H,1,Sn,B,2,L,3
1167,Sp,H,1,Sn,B,2,L,4
1168,Sp,H,1,Sn,B,2,R,10
1169,Sp,H,1,Sn,B,2,R,11
1170,Sp,H,1,Sn,B,2,R,12
1171,Sp,H,1,Sn,B,2,R,5
1172,Sp,H,1,Sn,B,2,R,6
1173,Sp,H,1,Sn,B,2,R,7
1174,Sp,H,1,Sn,B,2,R,8
1175,Sp,H,1,Sn,B,2,R,9
1176,Sp,H,1,Sn,T,1,L,10
1177,Sp,H,1,Sn,T,1,L,11
1178,Sp,H,1,Sn,T,1,L,12
1179,Sp,H,1,Sn,T,1,L,5
1180,Sp,H,1,Sn,T,1,L,6
1181,Sp,H,1,Sn,T,1,L,7
1182,Sp,H,1,Sn,T,1,L,8
1183,Sp,H,1,Sn,T,1,L,9
1184,Sp,H,1,Sn,T,1,R,1
1185,Sp,H,1,Sn,T,1,R,2
1186,Sp,H,1,Sn,T,1,R,3
1187,Sp,H,1,Sn,T,1,R,4
1188,Sp,H,1,Sn,T,2,L,1
1189,Sp,H,1,Sn,T,2,L,2
1190,Sp,H,1,Sn,T,2,L,3
1191,Sp,H,1,Sn,T,2,L,4
1192,Sp,H,1,Sn,T,2,R,10
1193,Sp,H,1,Sn,T,2,R,11
1194,Sp,H,1,Sn,T,2,R,12
1195,Sp,H,1,Sn,T,2,R,5
1196,Sp,H,1,Sn,T,2,R,6
1197,Sp,H,1,Sn,T,2,R,7
1198,Sp,H,1,Sn,T,2,R,8
1199,Sp,H,1,Sn,T,2,R,9
1200,Sp,H,2,Ml,B,1,L,1
1201,Sp,H,2,Ml,B,1,L,2
1202,Sp,H,2,Ml,B,1,L,3
1203,Sp,H,2,Ml,B,1,L,4
1204,Sp,H,2,Ml,B,1,L,5
1205,Sp,H,2,Ml,B,1,L,6
1206,Sp,H,2,Ml,B,1,L,7
1207,Sp,H,2,Ml,B,1,L,8
1208,Sp,H,2,Ml,B,1,R,10
1209,Sp,H,2,Ml,B,1,R,11
1210,Sp,H,2,Ml,B,1,R,12
1211,Sp,H,2,Ml,B,1,R,9
1212,Sp,H,2,Ml,B,2,L,10
1213,Sp,H,2,Ml,B,2,L,11
1214,Sp,H,2,Ml,B,2,L,12
1215,Sp,H,2,Ml,B,2,L,9
1216,Sp,H,2,Ml,B,2,R,1
1217,Sp,H,2,Ml,B,2,R,2
1218,Sp,H,2,Ml,B,2,R,3
1219,Sp,H,2,Ml,B,2,R,4
1220,Sp,H,2,Ml,B,2,R,5
1221,Sp,H,2,Ml,B,2,R,6
1222,Sp,H,2,Ml,B,2,R,7
1223,Sp,H,2,Ml,B,2,R,8
1224,Sp,H,2,Ml,T,1,L,1
1225,Sp,H,2,Ml,T,1,L,2
1226,Sp,H,2,Ml,T,1,L,3
1227,Sp,H,2,Ml,T,1,L,4
1228,Sp,H,2,Ml,T,1,L,5
1229,Sp,H,2,Ml,T,1,L,6
1230,Sp,H,2,Ml,T,1,L,7
1231,Sp,H,2,Ml,T,1,L,8
1232,Sp,H,2,Ml,T,1,R,10
1233,Sp,H,2,Ml,T,1,R,11
1234,Sp,H,2,Ml,T,1,R,12
1235,Sp,H,2,Ml,T,1,R,9
1236,Sp,H,2,Ml,T,2,L,10
1237,Sp,H,2,Ml,T,2,L,11
1238,Sp,H,2,Ml,T,2,L,12
1239,Sp,H,2,Ml,T,2,L,9
1240,Sp,H,2,Ml,T,2,R,1
1241,Sp,H,2,Ml,T,2,R,2
1242,Sp,H,2,Ml,T,2,R,3
1243,Sp,H,2,Ml,T,2,R,4
1244,Sp,H,2,Ml,T,2,R,5
1245,Sp,H,2,Ml,T,2,R,6
1246,Sp,H,2,Ml,T,2,R,7
1247,Sp,H,2,Ml,T,2,R,8
1248,Sp,H,2,Sn,B,1,L,1
1249,Sp,H,2,Sn,B,1,L,2
1250,Sp,H,2,Sn,B,1,L,3
1251,Sp,H,2,Sn,B,1,L,4
1252,Sp,H,2,Sn,B,1,R,10
1253,Sp,H,2,Sn,B,1,R,11
1254,Sp,H,2,Sn,B,1,R,12
1255,Sp,H,2,Sn,B,1,R,5
1256,Sp,H,2,Sn,B,1,R,6
1257,Sp,H,2,Sn,B,1,R,7
1258,Sp,H,2,Sn,B,1,R,8
1259,Sp,H,2,Sn,B,1,R,9
1260,Sp,H,2,Sn,B,2,L,10
1261,Sp,H,2,Sn,B,2,L,11
1262,Sp,H,2,Sn,B,2,L,12
1263,Sp,H,2,Sn,B,2,L,5
1264,Sp,H,2,Sn,B,2,L,6
1265,Sp,H,2,Sn,B,2,L,7
1266,Sp,H,2,Sn,B,2,L,8
1267,Sp,H,2,Sn,B,2,L,9
1268,Sp,H,2,Sn,B,2,R,1
1269,Sp,H,2,Sn,B,2,R,2
1270,Sp,H,2,Sn,B,2,R,3
1271,Sp,H,2,Sn,B,2,R,4
1272,Sp,H,2,Sn,T,1,L,1
1273,Sp,H,2,Sn,T,1,L,2
1274,Sp,H,2,Sn,T,1,L,3
1275,Sp,H,2,Sn,T,1,L,4
1276,Sp,H,2,Sn,T,1,R,10
1277,Sp,H,2,Sn,T,1,R,11
1278,Sp,H,2,Sn,T,1,R,12
1279,Sp,H,2,Sn,T,1,R,5
1280,Sp,H,2,Sn,T,1,R,6
1281,Sp,H,2,Sn,T,1,R,7
1282,Sp,H,2,Sn,T,1,R,8
1283,Sp,H,2,Sn,T,1,R,9
1284,Sp,H,2,Sn,T,2,L,10
1285,Sp,H,2,Sn,T,2,L,11
1286,Sp,H,2,Sn,T,2,L,12
1287,Sp,H,2,Sn,T,2,L,5
1288,Sp,H,2,Sn,T,2,L,6
1289,Sp,H,2,Sn,T,2,L,7
1290,Sp,H,2,Sn,T,2,L,8
1291,Sp,H,2,Sn,T,2,L,9
1292,Sp,H,2,Sn,T,2,R,1
1293,Sp,H,2,Sn,T,2,R,2
1294,Sp,H,2,Sn,T,2,R,3
1295,Sp,H,2,Sn,T,2,R,4
1296,Sp,H,3,Ml,B,1,L,5
1297,Sp,H,3,Ml,B,1,L,6
1298,Sp,H,3,Ml,B,1,L,7
1299,Sp,H,3,Ml,B,1,L,8
1300,Sp,H,3,Ml,B,1,R,1
1301,Sp,H,3,Ml,B,1,R,10
1302,Sp,H,3,Ml,B,1,R,11
1303,Sp,H,3,Ml,B,1,R,12
1304,Sp,H,3,Ml,B,1,R,2
1305,Sp,H,3,Ml,B,1,R,3
1306,Sp,H,3,Ml,B,1,R,4
1307,Sp,H,3,Ml,B,1,R,9
1308,Sp,H,3,Ml,B,2,L,1
1309,Sp,H,3,Ml,B,2,L,10
1310,Sp,H,3,Ml,B,2,L,11
1311,Sp,H,3,Ml,B,2,L,12
1312,Sp,H,3,Ml,B,2,L,2
1313,Sp,H,3,Ml,B,2,L,3
1314,Sp,H,3,Ml,B,2,L,4
1315,Sp,H,3,Ml,B,2,L,9
1316,Sp,H,3,Ml,B,2,R,5
1317,Sp,H,3,Ml,B,2,R,6
1318,Sp,H,3,Ml,B,2,R,7
1319,Sp,H,3,Ml,B,2,R,8
1320,Sp,H,3,Ml,T,1,L,5
1321,Sp,H,3,Ml,T,1,L,6
1322,Sp,H,3,Ml,T,1,L,7
1323,Sp,H,3,Ml,T,1,L,8
1324,Sp,H,3,Ml,T,1,R,1
1325,Sp,H,3,Ml,T,1,R,10
1326,Sp,H,3,Ml,T,1,R,11
1327,Sp,H,3,Ml,T,1,R,12
1328,Sp,H,3,Ml,T,1,R,2
1329,Sp,H,3,Ml,T,1,R,3
1330,Sp,H,3,Ml,T,1,R,4
1331,Sp,H,3,Ml,T,1,R,9
1332,Sp,H,3,Ml,T,2,L,1
1333,Sp,H,3,Ml,T,2,L,10
1334,Sp,H,3,Ml,T,2,L,11
1335,Sp,H,3,Ml,T,2,L,12
1336,Sp,H,3,Ml,T,2,L,2
1337,Sp,H,3,Ml,T,2,L,3
1338,Sp,H,3,Ml,T,2,L,4
1339,Sp,H,3,Ml,T,2,L,9
1340,Sp,H,3,Ml,T,2,R,5
1341,Sp,H,3,Ml,T,2,R,6
1342,Sp,H,3,Ml,T,2,R,7
1343,Sp,H,3,Ml,T,2,R,8
1344,Sp,H,3,Sn,B,1,L,1
1345,Sp,H,3,Sn,B,1,L,2
1346,Sp,H,3,Sn,B,1,L,3
1347,Sp,H,3,Sn,B,1,L,4
1348,Sp,H,3,Sn,B,1,L,5
1349,Sp,H,3,Sn,B,1,L,6
1350,Sp,H,3,Sn,B,1,L,7
1351,Sp,H,3,Sn,B,1,L,8
1352,Sp,H,3,Sn,B,1,R,10
1353,Sp,H,3,Sn,B,1,R,11
1354,Sp,H,3,Sn,B,1,R,12
1355,Sp,H,3,Sn,B,1,R,9
1356,Sp,H,3,Sn,B,2,L,10
1357,Sp,H,3,Sn,B,2,L,11
1358,Sp,H,3,Sn,B,2,L,12
1359,Sp,H,3,Sn,B,2,L,9
1360,Sp,H,3,Sn,B,2,R,1
1361,Sp,H,3,Sn,B,2,R,2
1362,Sp,H,3,Sn,B,2,R,3
1363,Sp,H,3,Sn,B,2,R,4
1364,Sp,H,3,Sn,B,2,R,5
1365,Sp,H,3,Sn,B,2,R,6
1366,Sp,H,3,Sn,B,2,R,7
1367,Sp,H,3,Sn,B,2,R,8
1368,Sp,H,3,Sn,T,1,L,1
1369,Sp,H,3,Sn,T,1,L,2
1370,Sp,H,3,Sn,T,1,L,3
1371,Sp,H,3,Sn,T,1,L,4
1372,Sp,H,3,Sn,T,1,L,5
1373,Sp,H,3,Sn,T,1,L,6
1374,Sp,H,3,Sn,T,1,L,7
1375,Sp,H,3,Sn,T,1,L,8
1376,Sp,H,3,Sn,T,1,R,10
1377,Sp,H,3,Sn,T,1,R,11
1378,Sp,H,3,Sn,T,1,R,12
1379,Sp,H,3,Sn,T,1,R,9
1380,Sp,H,3,Sn,T,2,L,10
1381,Sp,H,3,Sn,T,2,L,11
1382,Sp,H,3,Sn,T,2,L,12
1383,Sp,H,3,Sn,T,2,L,9
1384,Sp,H,3,Sn,T,2,R,1
1385,Sp,H,3,Sn,T,2,R,2
1386,Sp,H,3,Sn,T,2,R,3
1387,Sp,H,3,Sn,T,2,R,4
1388,Sp,H,3,Sn,T,2,R,5
1389,Sp,H,3,Sn,T,2,R,6
1390,Sp,H,3,Sn,T,2,R,7
1391,Sp,H,3,Sn,T,2,R,8
1392,Sp,H,4,Ml,B,1,L,5
1393,Sp,H,4,Ml,B,1,L,6
1394,Sp,H,4,Ml,B,1,L,7
1395,Sp,H,4,Ml,B,1,L,8
1396,Sp,H,4,Ml,B,1,R,1
1397,Sp,H,4,Ml,B,1,R,10
1398,Sp,H,4,Ml,B,1,R,11
1399,Sp,H,4,Ml,B,1,R,12
1400,Sp,H,4,Ml,B,1,R,2
1401,Sp,H,4,Ml,B,1,R,3
1402,Sp,H,4,Ml,B,1,R,4
1403,Sp,H,4,Ml,B,1,R,9
1404,Sp,H,4,Ml,B,2,L,1
1405,Sp,H,4,Ml,B,2,L,10
1406,Sp,H,4,Ml,B,2,L,11
1407,Sp,H,4,Ml,B,2,L,12
1408,Sp,H,4,Ml,B,2,L,2
1409,Sp,H,4,Ml,B,2,L,3
1410,Sp,H,4,Ml,B,2,L,4
1411,Sp,H,4,Ml,B,2,L,9
1412,Sp,H,4,Ml,B,2,R,5
1413,Sp,H,4,Ml,B,2,R,6
1414,Sp,H,4,Ml,B,2,R,7
1415,Sp,H,4,Ml,B,2,R,8
1416,Sp,H,4,Ml,T,1,L,5
1417,Sp,H,4,Ml,T,1,L,6
1418,Sp,H,4,Ml,T,1,L,7
1419,Sp,H,4,Ml,T,1,L,8
1420,Sp,H,4,Ml,T,1,R,1
1421,Sp,H,4,Ml,T,1,R,10
1422,Sp,H,4,Ml,T,1,R,11
1423,Sp,H,4,Ml,T,1,R,12
1424,Sp,H,4,Ml,T,1,R,2
1425,Sp,H,4,Ml,T,1,R,3
1426,Sp,H,4,Ml,T,1,R,4
1427,Sp,H,4,Ml,T,1,R,9
1428,Sp,H,4,Ml,T,2,L,1
1429,Sp,H,4,Ml,T,2,L,10
1430,Sp,H,4,Ml,T,2,L,11
1431,Sp,H,4,Ml,T,2,L,12
1432,Sp,H,4,Ml,T,2,L,2
1433,Sp,H,4,Ml,T,2,L,3
1434,Sp,H,4,Ml,T,2,L,4
1435,Sp,H,4,Ml,T,2,L,9
1436,Sp,H,4,Ml,T,2,R,5
1437,Sp,H,4,Ml,T,2,R,6
1438,Sp,H,4,Ml,T,2,R,7
1439,Sp,H,4,Ml,T,2,R,8
1440,Sp,H,4,Sn,B,1,L,10
1441,Sp,H,4,Sn,B,1,L,11
1442,Sp,H,4,Sn,B,1,L,12
1443,Sp,H,4,Sn,B,1,L,5
1444,Sp,H,4,Sn,B,1,L,6
1445,Sp,H,4,Sn,B,1,L,7
1446,Sp,H,4,Sn,B,1,L,8
1447,Sp,H,4,Sn,B,1,L,9
1448,Sp,H,4,Sn,B,1,R,1
1449,Sp,H,4,Sn,B,1,R,2
1450,Sp,H,4,Sn,B,1,R,3
1451,Sp,H,4,Sn,B,1,R,4
1452,Sp,H,4,Sn,B,2,L,1
1453,Sp,H,4,Sn,B,2,L,2
1454,Sp,H,4,Sn,B,2,L,3
1455,Sp,H,4,Sn,B,2,L,4
1456,Sp,H,4,Sn,B,2,R,10
1457,Sp,H,4,Sn,B,2,R,11
1458,Sp,H,4,Sn,B,2,R,12
1459,Sp,H,4,Sn,B,2,R,5
1460,Sp,H,4,Sn,B,2,R,6
1461,Sp,H,4,Sn,B,2,R,7
1462,Sp,H,4,Sn,B,2,R,8
1463,Sp,H,4,Sn,B,2,R,9
1464,Sp,H,4,Sn,T,1,L,10
1465,Sp,H,4,Sn,T,1,L,11
1466,Sp,H,4,Sn,T,1,L,12
1467,Sp,H,4,Sn,T,1,L,5
1468,Sp,H,4,Sn,T,1,L,6
1469,Sp,H,4,Sn,T,1,L,7
1470,Sp,H,4,Sn,T,1,L,8
1471,Sp,H,4,Sn,T,1,L,9
1472,Sp,H,4,Sn,T,1,R,1
1473,Sp,H,4,Sn,T,1,R,2
1474,Sp,H,4,Sn,T,1,R,3
1475,Sp,H,4,Sn,T,1,R,4
1476,Sp,H,4,Sn,T,2,L,1
1477,Sp,H,4,Sn,T,2,L,2
1478,Sp,H,4,Sn,T,2,L,3
1479,Sp,H,4,Sn,T,2,L,4
1480,Sp,H,4,Sn,T,2,R,10
1481,Sp,H,4,Sn,T,2,R,11
1482,Sp,H,4,Sn,T,2,R,12
1483,Sp,H,4,Sn,T,2,R,5
1484,Sp,H,4,Sn,T,2,R,6
1485,Sp,H,4,Sn,T,2,R,7
1486,Sp,H,4,Sn,T,2,R,8
1487,Sp,H,4,Sn,T,2,R,9
1488,Sp,H,5,Ml,B,1,L,1
1489,Sp,H,5,Ml,B,1,L,10
1490,Sp,H,5,Ml,B,1,L,11
1491,Sp,H,5,Ml,B,1,L,12
1492,Sp,H,5,Ml,B,1,L,2
1493,Sp,H,5,Ml,B,1,L,3
1494,Sp,H,5,Ml,B,1,L,4
1495,Sp,H,5,Ml,B,1,L,5
1496,Sp,H,5,Ml,B,1,L,6
1497,Sp,H,5,Ml,B,1,L,7
1498,Sp,H,5,Ml,B,1,L,8
1499,Sp,H,5,Ml,B,1,L,9
1500,Sp,H,5,Ml,B,2,R,1
1501,Sp,H,5,Ml,B,2,R,10
1502,Sp,H,5,Ml,B,2,R,11
1503,Sp,H,5,Ml,B,2,R,12
1504,Sp,H,5,Ml,B,2,R,2
1505,Sp,H,5,Ml,B,2,R,3
1506,Sp,H,5,Ml,B,2,R,4
1507,Sp,H,5,Ml,B,2,R,5
1508,Sp,H,5,Ml,B,2,R,6
1509,Sp,H,5,Ml,B,2,R,7
1510,Sp,H,5,Ml,B,2,R,8
1511,Sp,H,5,Ml,B,2,R,9
1512,Sp,H,5,Ml,T,1,L,1
1513,Sp,H,5,Ml,T,1,L,10
1514,Sp,H,5,Ml,T,1,L,11
1515,Sp,H,5,Ml,T,1,L,12
1516,Sp,H,5,Ml,T,1,L,2
1517,Sp,H,5,Ml,T,1,L,3
1518,Sp,H,5,Ml,T,1,L,4
1519,Sp,H,5,Ml,T,1,L,5
1520,Sp,H,5,Ml,T,1,L,6
1521,Sp,H,5,Ml,T,1,L,7
1522,Sp,H,5,Ml,T,1,L,8
1523,Sp,H,5,Ml,T,1,L,9
1524,Sp,H,5,Ml,T,2,R,1
1525,Sp,H,5,Ml,T,2,R,10
1526,Sp,H,5,Ml,T,2,R,11
1527,Sp,H,5,Ml,T,2,R,12
1528,Sp,H,5,Ml,T,2,R,2
1529,Sp,H,5,Ml,T,2,R,3
1530,Sp,H,5,Ml,T,2,R,4
1531,Sp,H,5,Ml,T,2,R,5
1532,Sp,H,5,Ml,T,2,R,6
1533,Sp,H,5,Ml,T,2,R,7
1534,Sp,H,5,Ml,T,2,R,8
1535,Sp,H,5,Ml,T,2,R,9
1536,Sp,H,5,Sn,B,1,L,1
1537,Sp,H,5,Sn,B,1,L,2
1538,Sp,H,5,Sn,B,1,L,3
1539,Sp,H,5,Sn,B,1,L,4
1540,Sp,H,5,Sn,B,1,L,5
1541,Sp,H,5,Sn,B,1,L,6
1542,Sp,H,5,Sn,B,1,L,7
1543,Sp,H,5,Sn,B,1,L,8
1544,Sp,H,5,Sn,B,1,R,10
1545,Sp,H,5,Sn,B,1,R,11
1546,Sp,H,5,Sn,B,1,R,12
1547,Sp,H,5,Sn,B,1,R,9
1548,Sp,H,5,Sn,B,2,L,10
1549,Sp,H,5,Sn,B,2,L,11
1550,Sp,H,5,Sn,B,2,L,12
1551,Sp,H,5,Sn,B,2,L,9
1552,Sp,H,5,Sn,B,2,R,1
1553,Sp,H,5,Sn,B,2,R,2
1554,Sp,H,5,Sn,B,2,R,3
1555,Sp,H,5,Sn,B,2,R,4
1556,Sp,H,5,Sn,B,2,R,5
1557,Sp,H,5,Sn,B,2,R,6
1558,Sp,H,5,Sn,B,2,R,7
1559,Sp,H,5,Sn,B,2,R,8
1560,Sp,H,5,Sn,T,1,L,1
1561,Sp,H,5,Sn,T,1,L,2
1562,Sp,H,5,Sn,T,1,L,3
1563,Sp,H,5,Sn,T,1,L,4
1564,Sp,H,5,Sn,T,1,L,5
1565,Sp,H,5,Sn,T,1,L,6
1566,Sp,H,5,Sn,T,1,L,7
1567,Sp,H,5,Sn,T,1,L,8
1568,Sp,H,5,Sn,T,1,R,10
1569,Sp,H,5,Sn,T,1,R,11
1570,Sp,H,5,Sn,T,1,R,12
1571,Sp,H,5,Sn,T,1,R,9
1572,Sp,H,5,Sn,T,2,L,10
